site_id,building_id,primary_use,square_feet,year_built,floor_count
0,0,0,7432,2008.0,3.0
0,1,0,2720,2004.0,3.0
0,2,0,5376,1991.0,3.0
0,3,0,23685,2002.0,3.0
0,4,0,116607,1975.0,4.0
0,5,0,8000,2000.0,3.0
0,6,4,27926,1981.0,3.0
0,7,0,121074,1989.0,4.0
0,8,0,60809,2003.0,4.0
0,9,6,27000,2010.0,3.0
0,10,1,370773,1991.0,5.0
0,11,0,49073,1968.0,4.0
0,12,4,37100,1999.0,4.0
0,13,0,99380,2000.0,4.0
0,14,0,86250,2013.0,4.0
0,15,6,83957,1974.0,4.0
0,16,0,54644,1996.0,4.0
0,17,6,15250,1980.0,3.0
0,18,0,111891,1996.0,4.0
0,19,6,18717,2004.0,3.0
0,20,0,110272,1977.0,4.0
0,21,6,7043,1990.0,3.0
0,22,0,3569,1996.0,3.0
0,23,0,130885,1985.0,4.0
0,24,0,105545,2001.0,4.0
0,25,6,103286,1969.0,4.0
0,26,6,26953,2005.0,3.0
0,27,4,59200,1999.0,4.0
0,28,6,52957,2016.0,4.0
0,29,0,113866,2006.0,4.0
0,30,0,93897,1999.0,4.0
0,31,0,61904,2001.0,4.0
0,32,6,48392,2005.0,4.0
0,33,4,38686,2002.0,4.0
0,34,4,42731,2002.0,4.0
0,35,4,41617,2002.0,4.0
0,36,4,53130,2002.0,4.0
0,37,4,53130,2002.0,4.0
0,38,6,12769,2013.0,3.0
0,39,6,64619,1969.0,4.0
0,40,1,26944,2001.0,3.0
0,41,6,93860,1968.0,4.0
0,42,7,226506,1968.0,4.0
0,43,11,59071,1980.0,4.0
0,44,11,283,1985.0,3.0
0,45,11,15304,2016.0,3.0
0,46,11,9045,2016.0,3.0
0,47,11,31666,2008.0,4.0
0,48,7,9569,1989.0,3.0
0,49,4,24456,1968.0,4.0
0,50,7,4698,1981.0,3.0
0,51,8,387638,2014.0,5.0
0,52,0,106523,1970.0,4.0
0,53,6,87742,1971.0,4.0
0,54,0,7867,2011.0,3.0
0,55,6,16726,2011.0,3.0
0,56,4,60088,2013.0,4.0
0,57,4,65359,2013.0,4.0
0,58,4,83379,2013.0,4.0
0,59,1,81337,2005.0,4.0
0,60,0,81576,1997.0,4.0
0,61,4,38686,2001.0,4.0
0,62,4,42731,2001.0,4.0
0,63,4,41617,2001.0,4.0
0,64,4,53130,2001.0,4.0
0,65,4,53130,2001.0,4.0
0,66,4,37241,1981.0,4.0
0,67,4,24456,1968.0,4.0
0,68,8,487433,2007.0,5.0
0,69,8,387638,2000.0,5.0
0,70,8,387638,2007.0,5.0
0,71,8,387638,1998.0,5.0
0,72,8,387638,2002.0,5.0
0,73,8,387638,2008.0,5.0
0,74,8,387638,1997.0,5.0
0,75,0,80942,2010.0,4.0
0,76,0,128887,2009.0,4.0
0,77,4,24456,1968.0,4.0
0,78,0,76257,2007.0,4.0
0,79,6,36240,2010.0,3.0
0,80,6,156111,2001.0,5.0
0,81,7,3025,1979.0,2.0
0,82,6,10743,1974.0,3.0
0,83,7,2070,1996.0,3.0
0,84,6,4038,1986.0,3.0
0,85,4,37241,1981.0,4.0
0,86,0,10932,1986.0,3.0
0,87,1,6412,2006.0,3.0
0,88,1,76527,2007.0,4.0
0,89,11,161755,1996.0,4.0
0,90,4,59200,1999.0,4.0
0,91,0,68094,2003.0,4.0
0,92,6,10779,1970.0,3.0
0,93,6,33370,1982.0,4.0
0,94,0,29469,1968.0,3.0
0,95,4,200933,2006.0,4.0
0,96,4,200933,2006.0,4.0
0,97,4,187647,2007.0,4.0
0,98,4,200933,2007.0,4.0
0,99,6,2260,2016.0,3.0
0,100,4,24456,1968.0,4.0
0,101,6,18860,1986.0,3.0
0,102,6,15876,1983.0,3.0
0,103,0,21657,2016.0,4.0
0,104,6,45330,2003.0,4.0
1,105,0,50623,1962.0,5.0
1,106,0,5374,1969.0,4.0
1,107,0,97532,2005.0,10.0
1,108,0,81580,1913.0,5.0
1,109,0,56995,1953.0,6.0
1,110,0,27814,2006.0,8.0
1,111,0,118338,1909.0,7.0
1,112,0,32206,1958.0,6.0
1,113,0,100481,1958.0,9.0
1,114,0,139683,1958.0,13.0
1,115,0,129716,1968.0,6.0
1,116,0,37265,1969.0,5.0
1,117,0,15489,2004.0,4.0
1,118,0,138316,1960.0,8.0
1,119,0,91149,2007.0,7.0
1,120,0,68211,1976.0,7.0
1,121,0,150318,1906.0,9.0
1,122,0,83043,1991.0,6.0
1,123,0,61204,1989.0,6.0
1,124,0,38319,1900.0,6.0
1,125,0,16802,1995.0,6.0
1,126,0,21539,2004.0,5.0
1,127,4,27071,1955.0,6.0
1,128,4,102774,1956.0,7.0
1,129,4,102957,1968.0,7.0
1,130,4,62893,1960.0,16.0
1,131,4,66661,1930.0,7.0
1,132,4,83108,1995.0,8.0
1,133,4,64723,1960.0,8.0
1,134,4,49589,1998.0,8.0
1,135,4,66532,1967.0,10.0
1,136,4,56467,1960.0,9.0
1,137,1,64024,1967.0,6.0
1,138,9,118231,1968.0,6.0
1,139,9,56629,1900.0,6.0
1,140,6,50020,1953.0,11.0
1,141,6,44789,1919.0,5.0
1,142,6,45348,1961.0,4.0
1,143,6,40085,1964.0,4.0
1,144,6,57673,1957.0,5.0
1,145,6,14219,1971.0,4.0
1,146,6,31614,1956.0,8.0
1,147,6,82548,1977.0,7.0
1,148,6,174601,1960.0,12.0
1,149,6,81881,1960.0,8.0
1,150,6,65657,1955.0,8.0
1,151,6,30495,1997.0,8.0
1,152,6,10301,1970.0,2.0
1,153,6,16092,1965.0,3.0
1,154,6,34455,1907.0,8.0
1,155,6,51688,1930.0,8.0
2,156,9,43681,2007.0,4.0
2,157,6,5258,1970.0,3.0
2,158,6,10135,1974.0,3.0
2,159,0,9788,1972.0,3.0
2,160,1,15786,1973.0,3.0
2,161,0,11329,1965.0,3.0
2,162,0,98829,1968.0,4.0
2,163,0,72102,1970.0,4.0
2,164,15,12908,1979.0,3.0
2,165,15,3877,1975.0,3.0
2,166,4,553210,2009.0,5.0
2,167,4,86323,1956.0,4.0
2,168,0,183460,2005.0,4.0
2,169,0,179559,2006.0,4.0
2,170,11,45224,1982.0,4.0
2,171,6,131797,1968.0,4.0
2,172,6,121440,1983.0,4.0
2,173,0,90903,1965.0,3.0
2,174,0,90900,1965.0,3.0
2,175,0,111635,1989.0,4.0
2,176,0,62238,1970.0,4.0
2,177,1,167066,1989.0,4.0
2,178,6,23392,1967.0,3.0
2,179,2,24867,2012.0,4.0
2,180,0,24586,1963.0,4.0
2,181,0,148829,2014.0,5.0
2,182,1,1022,1969.0,3.0
2,183,0,132518,1992.0,4.0
2,184,0,34171,1966.0,3.0
2,185,0,84300,1968.0,5.0
2,186,10,1629,1948.0,3.0
2,187,0,44203,1950.0,4.0
2,188,6,23549,1941.0,3.0
2,189,0,7481,1969.0,3.0
2,190,0,137040,1957.0,4.0
2,191,0,78268,1964.0,4.0
2,192,0,151637,1983.0,4.0
2,193,6,6203,1999.0,3.0
2,194,6,155682,1966.0,4.0
2,195,6,9703,1940.0,3.0
2,196,1,40531,1967.0,4.0
2,197,9,102856,1973.0,4.0
2,198,6,163959,2004.0,4.0
2,199,8,405083,2004.0,4.0
2,200,1,143093,1964.0,5.0
2,201,0,219608,1992.0,4.0
2,202,4,74682,2006.0,4.0
2,203,4,63348,2007.0,4.0
2,204,4,30949,1951.0,4.0
2,205,4,60086,2001.0,4.0
2,206,9,345837,1966.0,5.0
2,207,9,99700,1965.0,4.0
2,208,3,36904,1934.0,4.0
2,209,0,193294,2006.0,4.0
2,210,0,71248,2004.0,4.0
2,211,0,48411,1960.0,4.0
2,212,0,327256,2012.0,5.0
2,213,0,49662,1964.0,4.0
2,214,0,91273,1951.0,4.0
2,215,4,36406,1940.0,4.0
2,216,0,137065,1964.0,4.0
2,217,0,282946,2003.0,5.0
2,218,9,16411,1968.0,3.0
2,219,0,96124,1959.0,4.0
2,220,0,122592,1971.0,4.0
2,221,0,204349,1993.0,4.0
2,222,1,11935,1939.0,3.0
2,223,0,261188,1967.0,4.0
2,224,0,272278,1955.0,5.0
2,225,4,216526,1967.0,4.0
2,226,6,74180,1930.0,4.0
2,227,1,17132,1918.0,3.0
2,228,4,49108,1951.0,4.0
2,229,0,140092,1969.0,4.0
2,230,0,10334,1976.0,3.0
2,231,0,33739,1939.0,3.0
2,232,1,24345,1981.0,3.0
2,233,0,25139,1970.0,4.0
2,234,0,179167,1971.0,4.0
2,235,0,9309,1970.0,3.0
2,236,1,144086,1989.0,5.0
2,237,9,101262,1982.0,4.0
2,238,6,45017,1963.0,4.0
2,239,4,106440,1963.0,4.0
2,240,4,111304,1964.0,4.0
2,241,1,51999,1974.0,4.0
2,242,8,157113,1987.0,4.0
2,243,8,557217,2004.0,5.0
2,244,0,95717,1970.0,4.0
2,245,0,88486,1970.0,4.0
2,246,6,202435,1967.0,4.0
2,247,0,64560,1965.0,4.0
2,248,0,24643,1982.0,3.0
2,249,1,179449,1976.0,4.0
2,250,0,131710,1991.0,4.0
2,251,0,12773,1956.0,3.0
2,252,0,4314,1907.0,2.0
2,253,0,65907,1964.0,4.0
2,254,1,254766,1989.0,4.0
2,255,0,49078,1914.0,4.0
2,256,0,16744,1969.0,3.0
2,257,0,75650,1966.0,4.0
2,258,0,71224,1967.0,4.0
2,259,0,77469,1970.0,4.0
2,260,0,126985,1979.0,4.0
2,261,0,89770,1969.0,3.0
2,262,1,20804,1999.0,4.0
2,263,0,87673,1960.0,4.0
2,264,6,83660,1973.0,4.0
2,265,6,118966,1988.0,4.0
2,266,0,30543,1964.0,4.0
2,267,1,72193,2013.0,4.0
2,268,1,77844,1968.0,4.0
2,269,1,809530,1958.0,6.0
2,270,6,29778,1968.0,3.0
2,271,0,71421,1966.0,4.0
2,272,0,4583,1967.0,3.0
2,273,6,140345,1969.0,4.0
2,274,6,42214,1985.0,4.0
2,275,6,70832,2014.0,4.0
2,276,6,70837,2014.0,4.0
2,277,0,12761,1909.0,3.0
2,278,6,148101,1971.0,4.0
2,279,0,49384,1967.0,4.0
2,280,1,105505,2008.0,4.0
2,281,2,28862,1966.0,3.0
2,282,6,28750,1967.0,3.0
2,283,1,51920,1969.0,4.0
2,284,1,230259,1975.0,4.0
2,285,14,21958,1968.0,3.0
2,286,4,32841,1935.0,4.0
2,287,6,33713,1956.0,4.0
2,288,1,10733,2005.0,3.0
2,289,1,9666,2005.0,3.0
2,290,6,51732,1966.0,4.0
3,291,9,90635,2011.0,3.0
3,292,9,33743,1968.0,3.0
3,293,6,408000,2010.0,4.0
3,294,1,14913,1967.0,3.0
3,295,0,83400,1942.0,4.0
3,296,9,22000,1968.0,3.0
3,297,0,66200,1950.0,4.0
3,298,1,39541,1967.0,4.0
3,299,0,356000,2014.0,4.0
3,300,0,62800,2014.0,4.0
3,301,9,51176,1966.0,4.0
3,302,0,57100,2015.0,4.0
3,303,1,15950,1970.0,3.0
3,304,1,194300,1900.0,4.0
3,305,6,8637,1967.0,3.0
3,306,0,51500,1931.0,4.0
3,307,9,10873,1971.0,3.0
3,308,9,5033,1967.0,3.0
3,309,1,2067,1971.0,3.0
3,310,9,22000,1968.0,3.0
3,311,0,50000,1928.0,4.0
3,312,1,6625,1969.0,3.0
3,313,0,103800,1972.0,4.0
3,314,0,225000,1969.0,4.0
3,315,1,20644,1959.0,3.0
